item_id,order_id,product_id,quantity
1,1,28,3
2,1,32,3
3,1,25,5
4,2,21,4
5,2,12,2
6,2,44,1
7,3,18,5
8,3,45,5
9,3,19,5
10,4,8,2
11,4,46,5
12,4,18,3
13,5,2,1
14,5,22,5
15,5,7,1
16,6,43,5
17,6,10,2
18,6,18,2
19,7,12,4
20,7,3,1
21,7,18,2
22,8,14,5
23,8,48,3
24,8,20,3
25,9,43,4
26,9,17,5
27,9,41,2
28,10,36,5
29,10,32,4
30,10,1,3
31,11,36,5
32,11,14,1
33,11,50,3
34,12,44,3
35,12,32,5
36,12,7,3
37,13,26,3
38,13,22,5
39,13,37,2
40,14,2,2
41,14,24,3
42,14,47,3
43,15,34,2
44,15,11,2
45,15,50,2
46,16,30,5
47,16,12,4
48,16,34,3
49,17,18,1
50,17,12,2
51,17,26,5
52,18,48,2
53,18,47,2
54,18,26,5
55,19,47,2
56,19,31,2
57,19,18,4
58,20,44,3
59,20,13,5
60,20,50,3
61,21,23,4
62,21,8,3
63,21,11,1
64,22,20,4
65,22,14,2
66,22,4,5
67,23,17,3
68,23,30,1
69,23,35,2
70,24,28,2
71,24,13,2
72,24,49,4
73,25,18,4
74,25,37,5
75,25,33,2
76,26,42,4
77,26,4,4
78,26,39,1
79,27,6,5
80,27,46,2
81,27,11,5
82,28,20,4
83,28,14,1
84,28,22,3
85,29,15,3
86,29,40,3
87,29,7,3
88,30,50,1
89,30,30,2
90,30,11,5
91,31,3,1
92,31,32,5
93,31,9,5
94,32,9,5
95,32,47,4
96,32,32,1
97,33,36,5
98,33,35,3
99,33,33,2
100,34,3,1
101,34,2,4
102,34,33,1
103,35,20,1
104,35,48,2
105,35,26,1
106,36,42,1
107,36,33,5
108,36,36,1
109,37,31,2
110,37,23,1
111,37,47,5
112,38,30,3
113,38,5,4
114,38,32,2
115,39,47,4
116,39,11,5
117,39,9,1
118,40,3,5
119,40,26,1
120,40,5,3
121,41,14,1
122,41,29,3
123,41,17,3
124,42,37,1
125,42,19,1
126,42,5,4
127,43,10,4
128,43,41,3
129,43,5,4
130,44,42,1
131,44,49,2
132,44,44,4
133,45,26,3
134,45,23,1
135,45,47,1
136,46,46,4
137,46,37,1
138,46,39,4
139,47,41,3
140,47,24,1
141,47,23,1
142,48,45,5
143,48,4,2
144,48,22,3
145,49,17,2
146,49,42,4
147,49,40,5
148,50,18,1
149,50,6,2
150,50,2,4
151,51,26,5
152,51,8,3
153,51,19,4
154,52,11,3
155,52,4,2
156,52,39,3
157,53,17,1
158,53,12,4
159,53,2,2
160,54,41,1
161,54,3,2
162,54,4,4
163,55,15,2
164,55,10,1
165,55,19,4
166,56,23,2
167,56,8,1
168,56,38,3
169,57,44,5
170,57,3,2
171,57,5,3
172,58,20,5
173,58,10,2
174,58,41,5
175,59,10,5
176,59,40,3
177,59,1,1
178,60,36,5
179,60,11,3
180,60,25,4
181,61,33,1
182,61,36,2
183,61,9,2
184,62,1,2
185,62,6,2
186,62,5,1
187,63,28,5
188,63,19,2
189,63,41,1
190,64,4,2
191,64,42,1
192,64,12,2
193,65,14,3
194,65,13,1
195,65,7,1
196,66,19,2
197,66,21,3
198,66,45,5
199,67,47,4
200,67,48,3
201,67,23,2
202,68,8,4
203,68,30,1
204,68,44,4
205,69,29,4
206,69,47,1
207,69,10,3
208,70,24,4
209,70,17,3
210,70,36,2
211,71,48,5
212,71,38,3
213,71,22,1
214,72,40,4
215,72,3,3
216,72,15,3
217,73,35,5
218,73,12,3
219,73,18,4
220,74,31,1
221,74,16,2
222,74,25,4
223,75,50,3
224,75,5,1
225,75,42,2
226,76,11,5
227,76,26,4
228,76,14,5
229,77,22,2
230,77,5,4
231,77,10,2
232,78,4,3
233,78,17,1
234,78,10,4
235,79,33,4
236,79,41,1
237,79,19,5
238,80,20,4
239,80,35,1
240,80,29,5
241,81,14,3
242,81,19,1
243,81,26,5
244,82,16,5
245,82,18,3
246,82,11,3
247,83,1,4
248,83,5,5
249,83,2,4
250,84,37,2
251,84,10,3
252,84,16,5
253,85,28,1
254,85,24,1
255,85,29,1
256,86,12,3
257,86,38,5
258,86,29,3
259,87,34,2
260,87,19,2
261,87,8,2
262,88,11,2
263,88,15,4
264,88,50,2
265,89,44,4
266,89,17,4
267,89,38,5
268,90,34,5
269,90,37,5
270,90,31,1
271,91,1,3
272,91,36,5
273,91,10,5
274,92,50,2
275,92,34,1
276,92,2,1
277,93,49,2
278,93,25,2
279,93,34,3
280,94,44,1
281,94,34,3
282,94,7,1
283,95,22,1
284,95,9,5
285,95,15,5
286,96,1,2
287,96,42,5
288,96,2,4
289,97,22,5
290,97,4,1
291,97,20,3
292,98,28,5
293,98,22,4
294,98,11,1
295,99,15,2
296,99,3,1
297,99,33,1
298,100,38,5
299,100,42,3
300,100,27,2
301,101,6,2
302,101,43,1
303,101,42,3
304,102,29,3
305,102,46,4
306,102,45,2
307,103,47,2
308,103,43,1
309,103,27,2
310,104,26,3
311,104,8,5
312,104,1,4
313,105,10,3
314,105,14,3
315,105,47,2
316,106,26,5
317,106,13,1
318,106,25,4
319,107,38,5
320,107,3,5
321,107,30,2
322,108,15,3
323,108,36,3
324,108,23,1
325,109,11,1
326,109,26,3
327,109,12,3
328,110,47,1
329,110,12,4
330,110,26,2
331,111,41,2
332,111,7,4
333,111,36,3
334,112,15,5
335,112,9,5
336,112,27,1
337,113,2,1
338,113,7,5
339,113,11,2
340,114,28,3
341,114,23,3
342,114,34,2
343,115,23,3
344,115,33,1
345,115,39,3
346,116,46,3
347,116,9,5
348,116,43,4
349,117,17,3
350,117,3,3
351,117,6,5
352,118,39,1
353,118,18,2
354,118,25,1
355,119,34,3
356,119,6,3
357,119,14,3
358,120,48,3
359,120,16,4
360,120,39,1
361,121,11,3
362,121,40,5
363,121,8,3
364,122,21,3
365,122,7,3
366,122,20,3
367,123,21,5
368,123,19,3
369,123,31,3
370,124,21,2
371,124,16,3
372,124,4,1
373,125,48,3
374,125,9,2
375,125,11,2
376,126,47,1
377,126,35,1
378,126,16,4
379,127,35,2
380,127,12,2
381,127,38,1
382,128,21,5
383,128,46,5
384,128,33,5
385,129,33,1
386,129,36,3
387,129,22,3
388,130,38,3
389,130,13,4
390,130,42,4
391,131,19,3
392,131,49,4
393,131,44,1
394,132,50,5
395,132,7,5
396,132,49,3
397,133,39,1
398,133,21,3
399,133,48,1
400,134,50,1
401,134,22,4
402,134,38,3
403,135,12,2
404,135,26,2
405,135,3,3
406,136,50,3
407,136,18,1
408,136,39,2
409,137,50,5
410,137,1,4
411,137,42,3
412,138,17,4
413,138,27,1
414,138,25,4
415,139,22,4
416,139,37,5
417,139,36,3
418,140,7,4
419,140,29,2
420,140,23,3
421,141,6,5
422,141,31,4
423,141,39,1
424,142,27,2
425,142,37,1
426,142,15,4
427,143,4,2
428,143,42,5
429,143,11,1
430,144,24,5
431,144,31,1
432,144,8,2
433,145,40,5
434,145,38,5
435,145,24,1
436,146,24,3
437,146,12,2
438,146,8,5
439,147,48,5
440,147,7,2
441,147,35,3
442,148,19,4
443,148,49,3
444,148,32,5
445,149,37,4
446,149,3,2
447,149,48,5
448,150,11,5
449,150,16,4
450,150,10,1
451,151,32,1
452,151,10,4
453,151,17,2
454,152,43,5
455,152,1,4
456,152,42,5
457,153,4,4
458,153,5,3
459,153,40,4
460,154,8,3
461,154,33,1
462,154,32,4
463,155,39,5
464,155,12,5
465,155,14,3
466,156,15,4
467,156,10,1
468,156,37,1
469,157,7,2
470,157,40,4
471,157,23,2
472,158,33,3
473,158,38,2
474,158,21,1
475,159,19,4
476,159,42,1
477,159,48,2
478,160,50,5
479,160,19,2
480,160,48,1
481,161,29,1
482,161,38,1
483,161,40,5
484,162,22,5
485,162,21,2
486,162,43,4
487,163,48,5
488,163,44,1
489,163,32,4
490,164,14,2
491,164,40,2
492,164,20,2
493,165,48,1
494,165,2,5
495,165,35,1
496,166,38,2
497,166,4,5
498,166,23,4
499,167,25,5
500,167,33,3
501,167,14,3
502,168,24,1
503,168,44,5
504,168,9,2
505,169,37,3
506,169,25,5
507,169,20,3
508,170,5,3
509,170,48,1
510,170,44,1
511,171,50,2
512,171,32,2
513,171,7,3
514,172,31,2
515,172,5,5
516,172,30,4
517,173,13,1
518,173,6,3
519,173,27,5
520,174,46,1
521,174,24,4
522,174,4,1
523,175,39,1
524,175,20,4
525,175,49,3
526,176,21,3
527,176,4,3
528,176,5,1
529,177,41,2
530,177,50,5
531,177,9,4
532,178,42,3
533,178,5,1
534,178,17,5
535,179,3,2
536,179,25,3
537,179,16,2
538,180,3,3
539,180,4,1
540,180,15,2
541,181,4,3
542,181,23,5
543,181,3,1
544,182,11,3
545,182,15,3
546,182,34,1
547,183,11,3
